BRAN,Meera
MEERA,I’m so sorry
RIDER,"Come with me, now"
RIDER,The dead don’t rest
GILLY,It’s so green
SAM,"Oh, yes"
GILLY,You’re nervous
GILLY,That’s not any better being a nervous mute
SAM,"I didn’t think I’d ever come back here after my father made me renounce my title and inheritance and, well, threaten to kill me if I didn’t"
SAM,And I certainly didn’t expect to be introducing him to my family
GILLY,That Little Sam is your baby
SAM,"Yes, now that’s very important"
GILLY,I think we’re here
CUT TO,HORN HILL - COURTYARD A party of guests is lined up at the entrance to the castle courtyard
MELESSA,Sam
SAM,"Oh, hello, Mother"
MELESSA,I never thought I’d see you again
SAM,Oh
SAM,"Talla? Gods, you’re a woman now"
TALLA,Father says I have to marry Symun Fossoway
He has yellow teeth- - MELESSA,"That’s enough, Talla"
SAM,"Oh, um, Mother, this is Gilly"
MELESSA,"Oh, my"
GILLY,"I am happy to know you, Lady Tarly"
SAM,"Oh, and this, this is our son Samwell"
MELESSA,"Hello, little one"
MELESSA (to LITTLE SAM),"You have a curious mind, I can tell"
TALLA,"Come, you’ll be wanting a bath after all that travel"
HIGH SPARROW,She’ll be protected the entire way
TOMMEN,She’s always been very devoted to the poor and the unfortunate
HIGH SPARROW,And now she’s devoted to the gods as well
Would you like to see her? CUT TO,GREAT SEPT OF BAELOR - PRAYER ROOM MARGAERY is sitting on a bench reading a book
TOMMEN,I’ve missed you
MARGAERY,We’ll be together again soon and everything will be better than it was before
TOMMEN,Better how? Soon the- - walk of atonement
Have you? MARGAERY,"Yes, I have"
MARGAERY,You think I’m mad
TOMMEN,No
He’s a lot more- - MARGAERY,He is
TOMMEN,What are you talking about? You’re a good person
TOMMEN,I was just telling him about your devotion to the poor
MARGAERY,"Ah, yes, I visited their hovels and I fed them soup and I made sure I was seen doing it"
TOMMEN,I don’t understand
MARGAERY,It’s all right
GILLY,It’s hard to walk in this
SAM,It’s beautiful
CUT TO,"HORN HILL - DINING HALL SAM, GILLY, MELESSA, TALLA, DICKON, and RANDYLL are sitting around the dinner table eating"
SAM,"This venison, it’s very tasty"
Is it from today’s hunt? DICKON,"Well, no"
SAM,"Oh, of course"
DICKON,Brought it down from 70 yards
SAM,"Oh, that’s a fair distance"
DICKON,Mm-hmmm
Mostly deer or is it elk as well? SAM,Rabbits
MELESSA (to GILLY),I imagine it’s common where you’re from
TALLA,Your father taught you to hunt? Our father would never teach us
RANDYLL,That’s enough of that
RANDYLL,Not fat enough already? SAM waves the servant away
SAM,I travelled south under orders from the Lord Commander
He wants me to- - RANDYLL,I read your letter
SAM,Yes
RANDYLL,I thought the Night’s Watch might make a man of you
RANDYLL,Your nose buried in books
MELESSA,"Randyll, to be maester of the Night’s Watch is a great honor"
GILLY,He can wield a sword
DICKON,There’s no such thing
GILLY,I saw it with my own eyes on our way down to Castle Black
GILLY,North of the Wall
RANDYLL,North of the Wall? You’re a Wildling
RANDYLL,It’s called Heartsbane
MELESSA,"Come, my dear"
MELESSA,I’ve lost my appetite
RANDYLL,He dishonors us
MELESSA,You dishonor yourself
RANDYLL (to SAM),Your mother’s a fine woman
CUT TO,HORN HILL - GILLY’S GUEST CHAMBER GILLY is sitting at the foot of the bed
SAM,I’m sorry I let him treat you that way
GILLY,I’m not angry at you
When do you have to go? SAM,First light
SAM,Say good-bye to him for me
GILLY,"You’re not what he thinks you are, Sam"
SAM,"Good-bye, Gilly"
GILLY,I don’t have any things
CUT TO,HORN HILL - DINING CHAMBER SAM and GILLY walk briskly through the hall
GILLY,Your sister’s dress
SAM,She won’t mind
GILLY,Sam
SAM,It’s my family’s sword
GILLY,Sam
Won’t he come for it? SAM,He can bloody well try
CLARENZO,The lion and the rose are one
CLARENZO,"And to you, my beauteous bridge, I pledge undying love"
ALL,Hail King Joffrey
CLARENZO,"I’ll drink a toast to my new queen, for there is no one fairer"
BOBONO,"Drink long and deep, my noble king, from this cup of sweet wine"
BOBONO,The last drink he shall ever take
CLARENZO,Poison! Murder! I gasp
CLARENZO,I limp
CLARENZO,
LADY CRANE,My firstborn son
LADY CRANE,"Hear my prayer, O cruel gods"
LADY CRANE,"Oh, darkest day, my heart is full of sorrow"
BOBONO,What is that I hear and smell? Someone I’ll soon send to hell
BOBONO,It’s time to see if truth they told who said Tywin Lannister shits gold
IZEMBARO,You beast
CUT TO,SHEELBA SQUARE BACKSTAGE ARYA enters and walks further inward
),No worse child ever stained this land
BOBONO,My greatest crime
CUT TO,SHEELBA SQUARE BACKSTAGE ARYA walks into the actor’s break room
),Then sail across the Narrow Sea to do unto you more treachery
),Don’t fear the winter
CUT TO,SHEELBA SQUARE BACKSTAGE IZEMBARO (O
),Thank you
CUT TO,"SHEELBA SQUARE STAGE IZEMBARO, BIANCA, and CLARENZO stand center stage"
IZEMBARO,I give you Bobono
IZEMBARO,I give you Camello
CUT TO,SHEELBA SQUARE BACKSTAGE ARYA pours the contents of the vial into LADY CRANE’s rum bottle and corks it
),"And last but not least, sweet Lady Crane"
CAMELLO,Give this a good beating
IZEMBARO (to BIANCA),That crowd was shit
LADY CRANE,Girl
LADY CRANE,I saw you the other day in the audience
How many times have you seen this stupid play? ARYA,Three times
LADY CRANE,Did you pay? ARYA smiles
ARYA,No
LADY CRANE,I remember when the players came to my village
ARYA,You’re very good
LADY CRANE,My final speech is shit
LADY CRANE,"But to be fair to myself, which I always like to be, the writing’s no good"
ARYA,So change it
LADY CRANE,"You have very expressive eyes, Mercy"
LADY CRANE,Wonderful eyebrows
Do you like pretending to be other people? ARYA,I have to go
BIANCA,"Lady Crane, they loved you"
LADY CRANE,They were sweet
IZEMBARO,No laugh for Ned’s death
IZEMBARO,But they loved her
CAMELLO,"Yes, you are adored by people and animals alike"
LADY CRANE,I do what I can with what I’m given
IZEMBARO,Full to the tits with ideas
IZEMBARO,You have no right to an opinion
ARYA,Careful of that one
CUT TO,HOUSE OF BLACK AND WHITE - OUTSIDE ARYA pulls the stones away from where she hid Needle
CUT TO,HOUSE OF BLACK AND WHITE - WASHING CHAMBER JAQEN is cutting the face of a corpse
JAQEN,A shame
WAIF,You promised me
JAQEN,Don’t let her suffer
